"SEQN","FSDHH","FSDAD","FSD151","FSQ165","FSQ012","FSD230","FSD162","FSQ760","FSQ653","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD652ZW","FSD672ZW","FSD652CW","FSD660ZW"
110831,,,,,,,,,,,,,,,,,,,
110832,3,3,2,1,1,1,1,1,1,1,1,,3,1,6,,,,
110833,1,1,2,2,,,2,,,,,,,,,,,,
110834,1,1,2,1,2,,2,,,,,,,,,,,,
110835,2,2,2,1,1,1,2,,,,,,,,,,,,
110836,3,3,1,1,2,,2,,,,,,,,,,,,
110837,,,,,,,,,,,,,,,,,,,
110838,3,3,1,1,1,1,2,,,,,,,,,,,,
110839,3,2,2,1,1,1,1,2,1,2,1,1,24,2,,,,,
110840,1,1,2,2,,,2,,2,,,,,2,,,,,
110841,1,1,2,1,2,,2,,,,,,,,,,,,
110842,1,1,2,2,,,2,,,,,,,,,,,,
110843,4,4,2,1,1,1,2,,,,,,,,,,,,
110844,2,2,2,1,1,2,2,,1,2,1,2,6,1,3,,,,
110845,,,,,,,,,,,,,,,,,,,
110846,2,2,1,1,2,,2,,1,2,1,2,6,1,4,,,,
110847,4,4,1,1,1,1,2,,,,,,,,,,,,
110848,3,3,2,2,,,2,,,,,,,,,,,,
110849,2,2,1,1,1,1,2,,,,,,,,,,,,
110850,1,1,2,2,,,2,,,,,,,,,,,,
110851,2,2,2,1,2,,2,,,,,,,,,,,,
110852,,,,,,,,,,,,,,,,,,,
110853,,,,,,,,,,,,,,,,,,,
110854,1,1,2,2,,,2,,,,,,,,,,,,
110855,3,4,1,1,2,,2,,2,,,,,1,99,,,,
110856,1,1,2,2,,,2,,,,,,,,,,,,
110857,1,1,2,2,,,2,,,,,,,,,,,,
110858,,,,,,,,,,,,,,,,,,,
110859,2,2,2,1,2,,2,,,,,,,,,,,,
110860,4,4,1,1,1,1,2,,,,,,,,,,,,
110861,2,2,2,1,2,,2,,,,,,,,,,,,
110862,4,4,1,1,1,1,2,,,,,,,,,,,,
110863,1,1,2,2,,,2,,,,,,,,,,,,
110864,4,4,1,1,1,1,1,2,,,,,,,,,,,
110865,2,2,2,1,2,,2,,,,,,,,,,,,
110866,1,1,2,2,,,2,,,,,,,,,,,,
110867,3,3,1,2,,,2,,,,,,,,,,,,
110868,1,1,2,1,1,1,1,1,,,,,,,,,,,
110869,1,1,2,2,,,2,,,,,,,,,,,,
110870,1,1,2,1,2,,2,,,,,,,,,,,,
110871,,,,,,,,,,,,,,,,,,,
110872,1,1,2,2,,,2,,,,,,,,,,,,
110873,2,2,2,1,2,,2,,,,,,,,,,,,
110874,,,,,,,,,,,,,,,,,,,
110875,1,1,2,2,,,2,,,,,,,,,,,,
110876,2,2,2,2,,,1,2,,,,,,,,,,,
110877,1,1,2,2,,,2,,2,,,,,2,,,,,
110878,1,1,2,2,,,2,,,,,,,,,,,,
110879,2,2,2,1,2,,2,,,,,,,,,,,,
110880,1,1,2,2,,,2,,,,,,,,,,,,
110881,,,,,,,,,,,,,,,,,,,
110882,1,1,1,1,2,,2,,,,,,,,,,,,
110883,1,1,2,2,,,2,,,,,,,,,,,,
110884,1,1,2,2,,,2,,,,,,,,,,,,
110885,1,1,2,1,2,,2,,,,,,,,,,,,
110886,1,1,2,2,,,2,,,,,,,,,,,,
110887,1,1,2,2,,,2,,,,,,,,,,,,
110888,2,2,2,1,2,,2,,,,,,,,,,,,
110889,3,3,1,1,1,1,2,,,,,,,,,,,,
110890,3,3,2,1,1,1,2,,,,,,,,,,,,
110891,1,1,2,2,,,2,,,,,,,,,,,,
110892,1,1,2,2,,,2,,2,,,,,2,,,,,
110893,,,,,,,,,,,,,,,,,,,
110894,4,4,2,1,1,1,2,,,,,,,,,,,,
110895,1,1,2,1,1,1,2,,,,,,,,,,,,
110896,2,2,2,1,2,,2,,,,,,,,,,,,
110897,1,1,2,2,,,2,,,,,,,,,,,,
110898,1,1,2,2,,,2,,,,,,,,,,,,
110899,1,1,2,2,,,2,,,,,,,,,,,,
110900,4,4,1,1,1,1,2,,,,,,,,,,,,
110901,1,1,2,1,2,,2,,1,2,1,1,999,1,5,,,,
110902,2,2,1,1,1,1,2,,,,,,,,,,,,
110903,4,4,1,1,1,1,2,,,,,,,,,,,,
110904,3,3,1,2,,,2,,,,,,,,,,,,
110905,2,2,2,1,2,,2,,,,,,,,,,,,
110906,,,,,,,,,,,,,,,,,,,
110907,,,,,,,,,,,,,,,,,,,
110908,3,3,1,1,1,1,2,,,,,,,,,,,,
110909,1,1,2,2,,,2,,,,,,,,,,,,
110910,1,1,2,2,,,2,,,,,,,,,,,,
110911,1,1,2,2,,,2,,,,,,,,,,,,
110912,1,1,1,1,1,1,1,1,1,1,1,1,36,1,1,,,,
110913,1,1,1,9,,,1,1,1,1,1,1,24,1,2,,,,
110914,2,2,2,2,,,1,1,,,,,,,,,,,
110915,2,2,2,2,,,2,,,,,,,,,,,,
110916,1,1,2,2,,,1,1,,,,,,,,,,,
110917,1,1,2,1,2,,2,,,,,,,,,,,,
110918,3,3,2,2,,,2,,,,,,,,,,,,
110919,1,1,2,2,,,1,1,1,1,1,,48,1,2,,,,
110920,3,3,2,1,1,1,2,,,,,,,,,,,,
110921,1,1,2,1,2,,2,,,,,,,,,,,,
110922,1,1,2,2,,,2,,,,,,,,,,,,
110923,3,3,2,1,2,,2,,,,,,,,,,,,
110924,1,1,1,1,1,1,2,,,,,,,,,,,,
110925,1,1,2,2,,,2,,,,,,,,,,,,
110926,2,2,2,1,1,1,1,2,1,2,1,2,12,1,6,,,,
110927,1,1,2,2,,,2,,,,,,,,,,,,
110928,1,1,2,2,,,2,,2,,,,,2,,,,,
110929,1,1,2,2,,,2,,,,,,,,,,,,
110930,1,1,2,2,,,2,,,,,,,,,,,,
110931,1,1,2,2,,,2,,1,2,1,2,12,2,,,,,
110932,1,1,2,1,2,,2,,,,,,,,,,,,
110933,1,1,2,1,2,,1,2,1,2,1,2,9,1,1,,,,
110934,1,1,2,2,,,2,,,,,,,,,,,,
110935,,,,,,,,,,,,,,,,,,,
110936,1,1,2,2,,,2,,,,,,,,,,,,
110937,1,1,2,2,,,2,,,,,,,,,,,,
110938,2,2,2,9,,,1,1,1,1,2,1,12,2,,,,,
110939,4,4,1,1,1,2,2,,,,,,,,,7,,7,2
110940,1,1,2,1,2,,2,,,,,,,,,,,,
110941,1,1,2,1,2,,2,,,,,,,,,,,,
110942,2,2,2,1,2,,2,,,,,,,,,,,,
110943,1,1,1,1,2,,1,1,,,,,,,,,,,
110944,1,1,2,2,,,2,,,,,,,,,,,,
110945,1,1,2,1,1,1,1,2,,,,,,,,,,,
110946,1,1,2,1,1,1,2,,,,,,,,,,,,
110947,,,,,,,,,,,,,,,,,,,
110948,1,1,2,2,,,2,,,,,,,,,,,,
110949,2,2,2,2,,,2,,,,,,,,,,,,
110950,1,1,2,1,1,1,2,,,,,,,,,,,,
110951,3,3,1,2,,,1,2,1,2,1,1,60,1,99,,,,
110952,1,1,2,2,,,2,,,,,,,,,,,,
110953,1,1,2,2,,,2,,,,,,,,,,,,
110954,1,1,2,1,2,,2,,,,,,,,,,,,
110955,1,1,2,1,2,,2,,,,,,,,,,,,
110956,1,1,2,2,,,2,,,,,,,,,,,,
110957,3,3,2,1,1,1,1,1,,,,,,,,,,,
110958,3,3,1,1,1,1,1,2,,,,,,,,,,,
110959,,,,,,,,,,,,,,,,,,,
110960,2,2,2,2,,,2,,,,,,,,,,,,
110961,1,1,2,2,,,2,,,,,,,,,,,,
110962,,,,,,,,,,,,,,,,,,,
110963,2,2,2,1,1,1,1,2,,,,,,,,,,,
110964,3,3,1,1,1,1,2,,,,,,,,,,,,
110965,2,2,1,2,,,2,,,,,,,,,,,,
110966,1,1,2,2,,,2,,,,,,,,,,,,
110967,2,2,1,1,1,1,2,,,,,,,,,,,,
110968,4,3,2,1,1,1,2,,,,,,,,,,,,
110969,1,1,2,2,,,2,,,,,,,,,,,,
110970,1,1,2,2,,,2,,,,,,,,,,,,
110971,1,1,2,2,,,2,,,,,,,,,,,,
110972,3,3,2,2,,,2,,,,,,,,,,,,
110973,1,1,2,2,,,2,,,,,,,,,,,,
110974,,,,,,,,,,,,,,,,,,,
110975,2,2,1,2,,,2,,,,,,,,,,,,
110976,2,2,2,1,2,,1,1,,,,,,,,,,,
110977,1,1,2,2,,,2,,,,,,,,,,,,
110978,4,4,2,1,1,1,2,,,,,,,,,,,,
110979,1,1,2,2,,,2,,,,,,,,,,,,
110980,2,2,1,1,2,,2,,,,,,,,,,,,
110981,4,4,1,1,1,1,2,,,,,,,,,,,,
110982,3,3,2,2,,,2,,2,,,,,2,,,,,
110983,1,1,2,2,,,1,1,1,1,1,,4,1,5,,,,
110984,1,1,2,2,,,2,,,,,,,,,,,,
110985,2,2,2,2,,,2,,,,,,,,,,,,
110986,1,1,2,2,,,2,,,,,,,,,,,,
110987,1,1,2,2,,,2,,,,,,,,,,,,
110988,,,,,,,,,,,,,,,,,,,
110989,2,2,2,2,,,2,,,,,,,,,,,,
110990,1,1,2,2,,,2,,,,,,,,,,,,
110991,1,1,2,2,,,2,,,,,,,,,,,,
110992,1,1,2,1,2,,1,1,1,1,1,,9,1,3,,,,
110993,1,1,2,2,,,2,,,,,,,,,,,,
110994,3,3,2,2,,,2,,,,,,,,,,,,
110995,1,1,2,1,2,,2,,,,,,,,,2,,2,2
110996,,,,,,,,,,,,,,,,,,,
110997,1,1,2,2,,,2,,,,,,,,,,,,
110998,1,1,2,2,,,2,,,,,,,,,2,,2,2
110999,1,1,2,2,,,1,1,,,,,,,,1,9,1,2
111000,,,,,,,,,,,,,,,,,,,
111001,3,2,2,1,1,1,1,2,1,2,1,1,16,1,3,,,,
111002,1,1,2,2,,,2,,,,,,,,,,,,
111003,1,1,2,1,2,,2,,,,,,,,,,,,
111004,1,1,2,1,2,,2,,,,,,,,,,,,
111005,,,,,,,,,,,,,,,,,,,
111006,4,4,1,2,,,2,,,,,,,,,,,,
111007,2,2,1,1,2,,2,,,,,,,,,,,,
111008,1,1,2,2,,,2,,,,,,,,,,,,
111009,4,4,2,1,2,,2,,,,,,,,,,,,
111010,2,2,2,1,1,1,1,1,,,,,,,,,,,
111011,1,1,2,2,,,2,,,,,,,,,,,,
111012,1,1,2,2,,,2,,,,,,,,,,,,
111013,1,1,2,2,,,2,,,,,,,,,,,,
111014,2,2,1,1,2,,2,,,,,,,,,,,,
111015,3,3,2,1,1,1,1,1,,,,,,,,,,,
111016,2,2,2,1,1,1,2,,,,,,,,,,,,
111017,1,1,2,2,,,2,,2,,,,,2,,,,,
111018,1,1,2,2,,,2,,,,,,,,,,,,
111019,1,1,2,1,2,,2,,,,,,,,,,,,
111020,3,2,1,1,1,1,1,1,,,,,,,,,,,
111021,1,1,2,2,,,2,,,,,,,,,,,,
111022,3,3,2,1,1,1,1,2,,,,,,,,,,,
111023,,,,,,,,,,,,,,,,,,,
111024,,,,,,,,,,,,,,,,,,,
111025,1,1,2,2,,,2,,,,,,,,,,,,
111026,4,4,1,1,1,1,2,,1,2,1,2,12,2,,,,,
111027,,,,,,,,,,,,,,,,,,,
111028,1,1,2,1,2,,2,,2,,,,,2,,,,,
111029,1,1,1,1,1,1,2,,,,,,,,,,,,
111030,1,1,2,2,,,2,,,,,,,,,,,,
111031,1,1,2,2,,,2,,,,,,,,,,,,
111032,1,1,2,2,,,2,,,,,,,,,,,,
111033,,,,,,,,,1,2,1,1,48,1,3,,,,
111034,1,1,2,2,,,2,,,,,,,,,,,,
111035,1,1,2,1,1,2,1,1,1,1,1,,6,1,7,,,,
111036,1,1,2,2,,,2,,,,,,,,,,,,
111037,1,1,2,2,,,2,,,,,,,,,,,,
111038,2,2,2,1,1,1,2,,,,,,,,,,,,
111039,2,1,2,2,,,2,,,,,,,,,,,,
111040,2,2,2,1,2,,2,,,,,,,,,,,,
111041,1,1,2,2,,,2,,,,,,,,,,,,
111042,3,3,1,1,2,,2,,,,,,,,,,,,
111043,,,,,,,,,,,,,,,,,,,
111044,2,2,2,1,2,,2,,,,,,,,,,,,
111045,3,3,2,2,,,2,,,,,,,,,,,,
111046,4,4,2,2,,,2,,,,,,,,,,,,
111047,1,1,2,2,,,2,,,,,,,,,,,,
111048,3,4,2,1,1,1,2,,,,,,,,,,,,
111049,1,1,2,2,,,2,,2,,,,,2,,,,,
111050,1,1,2,2,,,2,,,,,,,,,,,,
111051,4,4,2,2,,,2,,,,,,,,,,,,
111052,1,1,2,2,,,2,,2,,,,,2,,,,,
111053,4,4,1,1,1,1,2,,,,,,,,,,,,
111054,1,1,2,1,2,,2,,,,,,,,,,,,
111055,4,4,1,2,,,2,,,,,,,,,,,,
111056,4,4,2,2,,,2,,,,,,,,,,,,
111057,1,1,2,2,,,2,,,,,,,,,,,,
111058,3,2,2,1,1,1,1,1,,,,,,,,,,,
111059,1,1,2,1,1,1,1,1,,,,,,,,,,,
111060,3,3,2,1,2,,2,,,,,,,,,2,,2,2
111061,1,1,2,1,1,1,1,1,1,1,1,1,12,1,3,,,,
111062,1,1,2,2,,,2,,,,,,,,,,,,
111063,1,1,2,2,,,2,,,,,,,,,,,,
111064,2,2,2,1,2,,2,,,,,,,,,,,,
111065,4,4,2,1,1,1,2,,,,,,,,,,,,
111066,1,1,2,2,,,2,,,,,,,,,,,,
111067,1,1,2,2,,,2,,,,,,,,,,,,
111068,1,1,2,2,,,2,,,,,,,,,,,,
111069,2,2,2,1,1,1,1,1,,,,,,,,,,,
111070,3,3,2,1,2,,2,,2,,,,,2,,,,,
111071,1,1,2,1,2,,2,,,,,,,,,,,,
111072,1,1,1,1,2,,2,,,,,,,,,,,,
111073,4,4,1,1,1,1,1,1,,,,,,,,,,,
111074,1,1,2,1,1,1,1,2,,,,,,,,,,,
111075,2,2,1,2,,,2,,,,,,,,,,,,
111076,2,2,1,1,1,1,1,1,1,1,1,,3,1,2,,,,
111077,1,1,2,2,,,1,1,,,,,,,,,,,
111078,1,1,2,1,2,,2,,,,,,,,,,,,
111079,1,1,2,2,,,2,,,,,,,,,,,,
111080,1,1,2,2,,,2,,,,,,,,,,,,
111081,,,,,,,,,,,,,,,,,,,
111082,4,4,2,1,2,,2,,,,,,,,,,,,
111083,,,,,,,,,,,,,,,,,,,
111084,1,1,2,2,,,2,,,,,,,,,,,,
111085,1,1,2,1,2,,2,,,,,,,,,,,,
111086,1,1,2,2,,,2,,,,,,,,,,,,
111087,1,1,2,2,,,2,,,,,,,,,,,,
111088,3,3,2,1,2,,2,,,,,,,,,,,,
111089,2,2,2,1,2,,2,,,,,,,,,,,,
111090,1,1,2,2,,,2,,,,,,,,,,,,
111091,1,1,2,2,,,2,,,,,,,,,,,,
111092,1,1,2,2,,,2,,,,,,,,,,,,
111093,1,1,1,1,1,1,1,1,,,,,,,,,,,
111094,2,2,2,1,2,,2,,,,,,,,,,,,
111095,1,1,2,2,,,2,,,,,,,,,,,,
111096,3,2,2,1,1,1,2,,,,,,,,,,,,
111097,2,2,1,1,1,1,2,,,,,,,,,,,,
111098,1,1,2,2,,,2,,,,,,,,,,,,
111099,1,1,2,2,,,2,,2,,,,,2,,,,,
111100,1,1,2,1,2,,2,,1,2,1,1,36,1,3,,,,
111101,2,2,2,2,,,2,,1,2,1,1,24,1,5,,,,
111102,1,1,2,2,,,2,,,,,,,,,,,,
111103,2,2,2,2,,,2,,,,,,,,,,,,
111104,1,1,2,2,,,2,,,,,,,,,,,,
111105,4,4,1,1,1,1,2,,,,,,,,,,,,
111106,1,1,1,1,1,1,1,1,,,,,,,,,,,
111107,3,3,1,1,2,,2,,,,,,,,,1,2,1,2
111108,4,4,2,2,,,2,,,,,,,,,,,,
111109,2,2,2,2,,,2,,,,,,,,,,,,
111110,1,1,2,2,,,1,1,,,,,,,,,,,
111111,4,4,2,1,1,1,2,,,,,,,,,,,,
111112,1,1,2,1,1,1,2,,,,,,,,,,,,
111113,1,1,2,2,,,2,,2,,,,,2,,,,,
111114,2,2,2,2,,,2,,,,,,,,,,,,
111115,1,1,2,1,1,1,2,,,,,,,,,,,,
111116,3,3,2,1,1,1,1,2,,,,,,,,,,,
111117,1,1,2,1,2,,2,,,,,,,,,,,,
111118,,,,,,,,,,,,,,,,,,,
111119,1,1,2,2,,,2,,,,,,,,,,,,
111120,1,1,2,1,1,1,2,,,,,,,,,,,,
111121,3,3,2,2,,,1,1,1,1,1,,3,1,2,,,,
111122,1,1,1,1,2,,2,,,,,,,,,,,,
111123,1,1,2,2,,,2,,,,,,,,,,,,
111124,1,1,2,2,,,2,,,,,,,,,,,,
111125,3,4,1,1,2,,1,1,1,2,1,,11,1,5,,,,
111126,1,1,1,1,2,,1,1,,,,,,,,2,,1,2
111127,1,1,2,2,,,2,,,,,,,,,,,,
111128,1,1,2,2,,,2,,2,,,,,2,,,,,
111129,3,3,1,1,1,1,1,1,,,,,,,,,,,
111130,,,,,,,,,,,,,,,,,,,
111131,2,2,2,1,1,1,1,2,,,,,,,,,,,
111132,4,4,2,1,1,1,1,2,2,,,,,2,,,,,
111133,1,1,2,1,1,2,2,,,,,,,,,,,,
111134,1,1,2,1,2,,2,,,,,,,,,,,,
111135,1,1,2,1,2,,2,,,,,,,,,,,,
111136,,,,,,,,,,,,,,,,,,,
111137,1,1,1,1,1,1,1,1,1,1,1,1,24,1,4,,,,
111138,1,1,2,1,1,1,2,,,,,,,,,,,,
111139,1,1,2,2,,,2,,,,,,,,,,,,
111140,1,1,2,2,,,2,,,,,,,,,,,,
111141,1,1,2,2,,,2,,,,,,,,,,,,
111142,1,1,2,2,,,2,,2,,,,,2,,,,,
111143,1,1,2,2,,,2,,,,,,,,,,,,
111144,1,1,2,2,,,2,,,,,,,,,,,,
111145,3,3,2,2,,,2,,,,,,,,,,,,
111146,1,1,2,1,1,1,2,,1,2,1,1,24,1,5,,,,
111147,1,1,2,2,,,2,,,,,,,,,,,,
111148,,,,,,,,,,,,,,,,,,,
111149,1,1,2,1,2,,2,,,,,,,,,,,,
111150,3,3,2,1,1,1,2,,,,,,,,,,,,
111151,1,1,2,1,1,1,1,1,,,,,,,,,,,
111152,1,1,2,1,2,,2,,,,,,,,,,,,
111153,1,1,2,2,,,2,,,,,,,,,,,,
111154,3,2,2,1,1,1,2,,,,,,,,,,,,
111155,1,1,2,2,,,2,,,,,,,,,,,,
111156,1,1,2,2,,,2,,,,,,,,,,,,
111157,1,1,2,2,,,2,,,,,,,,,,,,
111158,1,1,2,1,2,,2,,,,,,,,,,,,
111159,3,3,2,1,1,1,2,,,,,,,,,,,,
111160,4,4,2,2,,,2,,,,,,,,,,,,
111161,1,1,2,2,,,2,,,,,,,,,,,,
111162,,,,,,,,,,,,,,,,,,,
111163,1,1,2,2,,,2,,,,,,,,,,,,
111164,1,1,2,2,,,2,,,,,,,,,,,,
111165,1,1,2,2,,,2,,,,,,,,,,,,
111166,,,,,,,,,,,,,,,,,,,
111167,,,,,,,,,,,,,,,,,,,
111168,1,1,2,2,,,2,,,,,,,,,,,,
111169,,,,,,,,,,,,,,,,,,,
111170,2,2,2,2,,,1,2,,,,,,,,,,,
111171,,,,,,,,,,,,,,,,,,,
111172,2,2,2,1,2,,2,,,,,,,,,,,,
111173,,,,,,,,,,,,,,,,,,,
111174,3,3,1,1,1,1,2,,1,2,1,1,7,1,4,,,,
111175,3,3,2,2,,,2,,,,,,,,,,,,
111176,1,1,2,2,,,2,,,,,,,,,,,,
111177,1,1,2,2,,,2,,,,,,,,,,,,
111178,1,1,2,2,,,2,,,,,,,,,,,,
111179,1,1,2,2,,,2,,,,,,,,,,,,
111180,1,1,2,2,,,2,,,,,,,,,,,,
111181,1,1,2,2,,,2,,,,,,,,,,,,
111182,1,1,2,1,1,2,2,,,,,,,,,,,,
111183,1,1,2,1,2,,2,,,,,,,,,,,,
111184,3,2,2,1,1,1,2,,,,,,,,,,,,
111185,3,4,2,2,,,2,,,,,,,,,,,,
111186,1,1,2,2,,,2,,2,,,,,2,,,,,
111187,2,2,2,2,,,2,,2,,,,,2,,,,,
111188,2,2,2,1,2,,2,,,,,,,,,,,,
111189,3,3,2,2,,,2,,,,,,,,,,,,
111190,1,1,2,2,,,2,,,,,,,,,,,,
111191,1,1,2,2,,,2,,,,,,,,,,,,
111192,1,1,2,1,1,1,2,,,,,,,,,,,,
111193,2,2,2,1,1,2,1,1,,,,,,,,,,,
111194,1,1,2,1,2,,2,,,,,,,,,,,,
111195,3,3,2,1,1,1,1,2,,,,,,,,,,,
111196,1,1,2,2,,,2,,,,,,,,,,,,
111197,1,1,2,1,1,1,1,1,,,,,,,,1,4,1,1
111198,2,2,2,1,1,1,2,,,,,,,,,,,,
111199,2,2,2,1,1,1,2,,,,,,,,,,,,
111200,4,4,2,1,1,1,1,1,1,1,1,,5,2,,,,,
111201,,,,,,,,,,,,,,,,,,,
111202,1,1,2,2,,,2,,,,,,,,,,,,
111203,1,1,2,2,,,2,,,,,,,,,,,,
111204,1,1,2,2,,,2,,,,,,,,,2,,2,2
111205,1,1,2,2,,,2,,2,,,,,2,,,,,
111206,1,1,2,2,,,2,,,,,,,,,,,,
111207,1,1,1,2,,,2,,,,,,,,,,,,
111208,1,1,2,2,,,2,,,,,,,,,,,,
111209,1,1,2,2,,,2,,,,,,,,,,,,
111210,1,1,2,1,2,,2,,,,,,,,,,,,
111211,3,3,2,1,1,1,1,1,,,,,,,,,,,
111212,2,2,2,1,1,1,2,,,,,,,,,,,,
111213,1,1,2,2,,,2,,,,,,,,,,,,
111214,2,2,2,2,,,1,1,1,1,1,,1,1,3,,,,
111215,3,3,1,1,1,1,2,,,,,,,,,,,,
111216,3,3,1,2,,,2,,,,,,,,,,,,
111217,1,1,2,2,,,2,,,,,,,,,,,,
111218,1,1,2,2,,,2,,,,,,,,,,,,
111219,1,1,2,2,,,2,,,,,,,,,,,,
111220,1,1,2,1,2,,1,2,,,,,,,,,,,
111221,1,1,2,2,,,2,,,,,,,,,,,,
111222,3,3,2,2,,,2,,,,,,,,,,,,
111223,,,,,,,,,,,,,,,,,,,
111224,2,2,2,1,1,2,1,1,,,,,,,,,,,
111225,,,,,,,,,1,1,2,,2,2,,,,,
111226,1,1,2,2,,,2,,,,,,,,,,,,
111227,1,1,2,2,,,2,,1,2,1,2,12,2,,,,,
111228,1,1,2,1,2,,2,,,,,,,,,,,,
111229,1,1,2,7,,,2,,,,,,,,,,,,
111230,3,3,2,2,,,2,,1,2,1,1,42,1,3,,,,
111231,1,1,2,2,,,2,,,,,,,,,,,,
111232,1,1,2,1,1,1,2,,,,,,,,,,,,
111233,,,,,,,,,,,,,,,,,,,
111234,1,1,2,2,,,2,,,,,,,,,,,,
111235,1,1,2,2,,,2,,,,,,,,,,,,
111236,,,,,,,,,,,,,,,,,,,
111237,2,2,2,1,1,1,1,1,,,,,,,,,,,
111238,1,1,2,2,,,2,,,,,,,,,,,,
111239,2,1,2,1,2,,2,,,,,,,,,,,,
111240,1,1,2,2,,,2,,,,,,,,,,,,
111241,,,,,,,,,,,,,,,,,,,
111242,,,,,,,,,,,,,,,,,,,
111243,1,1,2,2,,,2,,2,,,,,2,,,,,
111244,1,1,2,2,,,2,,,,,,,,,,,,
111245,3,3,2,1,2,,2,,,,,,,,,,,,
111246,1,1,2,2,,,2,,,,,,,,,,,,
111247,2,2,2,1,1,1,2,,,,,,,,,,,,
111248,1,1,2,2,,,2,,2,,,,,2,,,,,
111249,4,4,2,2,,,2,,,,,,,,,,,,
111250,1,1,1,1,1,1,2,,,,,,,,,,,,
111251,4,4,2,1,1,1,1,2,,,,,,,,,,,
111252,1,1,2,2,,,2,,2,,,,,2,,,,,
111253,2,2,2,1,2,,9,,,,,,,,,,,,
111254,1,1,2,2,,,2,,,,,,,,,,,,
111255,2,2,2,2,,,2,,,,,,,,,,,,
111256,2,2,2,2,,,2,,,,,,,,,,,,
111257,1,1,2,2,,,2,,,,,,,,,,,,
111258,1,1,2,2,,,2,,2,,,,,2,,,,,
111259,1,1,2,2,,,2,,,,,,,,,,,,
111260,1,1,1,1,1,1,2,,1,2,1,2,12,2,,,,,
111261,1,1,2,2,,,2,,,,,,,,,,,,
111262,1,1,2,2,,,2,,,,,,,,,,,,
111263,1,1,2,2,,,2,,,,,,,,,,,,
111264,2,2,1,1,1,1,2,,,,,,,,,,,,
111265,,,,,,,,,,,,,,,,,,,
111266,1,1,2,2,,,2,,,,,,,,,,,,
111267,1,1,2,2,,,2,,,,,,,,,,,,
111268,1,1,2,1,2,,2,,,,,,,,,,,,
111269,1,1,2,2,,,2,,,,,,,,,,,,
111270,1,1,1,1,1,1,2,,,,,,,,,,,,
111271,1,1,2,2,,,2,,,,,,,,,,,,
111272,4,4,1,1,1,1,2,,,,,,,,,,,,
111273,1,1,2,1,1,1,2,,,,,,,,,,,,
111274,1,1,2,2,,,2,,,,,,,,,,,,
111275,1,1,1,1,2,,2,,,,,,,,,,,,
111276,1,1,2,2,,,2,,1,2,1,2,4,1,6,,,,
111277,3,3,2,1,1,1,1,1,,,,,,,,,,,
111278,3,4,2,1,1,1,2,,,,,,,,,,,,
111279,1,1,2,2,,,2,,,,,,,,,,,,
111280,1,1,2,2,,,2,,,,,,,,,,,,
111281,1,1,2,2,,,2,,,,,,,,,,,,
111282,1,1,2,1,2,,2,,,,,,,,,,,,
111283,1,1,2,2,,,2,,,,,,,,,,,,
111284,1,1,2,9,,,9,,,,,,,,,,,,
111285,1,1,2,1,1,1,2,,,,,,,,,,,,
111286,1,1,2,2,,,2,,,,,,,,,,,,
111287,1,1,2,2,,,2,,,,,,,,,,,,
111288,4,4,2,1,2,,2,,,,,,,,,,,,
111289,1,1,2,1,1,1,1,1,,,,,,,,,,,
111290,1,1,2,2,,,2,,,,,,,,,,,,
111291,,,,,,,,,,,,,,,,,,,
111292,4,4,2,1,1,1,2,,,,,,,,,,,,
111293,4,4,2,2,,,2,,2,,,,,2,,,,,
111294,3,3,2,2,,,1,1,,,,,,,,,,,
111295,3,2,2,1,1,1,1,1,,,,,,,,,,,
111296,1,1,2,2,,,2,,,,,,,,,,,,
111297,1,1,2,2,,,2,,,,,,,,,,,,
111298,2,2,2,2,,,2,,,,,,,,,,,,
111299,1,1,2,2,,,2,,,,,,,,,,,,
111300,3,3,1,1,1,1,2,,,,,,,,,,,,
111301,1,1,2,1,2,,1,1,,,,,,,,2,,2,2
111302,1,1,2,2,,,2,,,,,,,,,,,,
111303,1,1,2,1,2,,2,,,,,,,,,,,,
111304,2,2,2,2,,,2,,,,,,,,,,,,
111305,1,1,2,2,,,2,,,,,,,,,,,,
111306,1,1,2,2,,,2,,,,,,,,,,,,
111307,4,3,2,2,,,2,,,,,,,,,,,,
111308,1,1,2,1,2,,2,,,,,,,,,,,,
111309,3,4,2,2,,,2,,,,,,,,,,,,
111310,,,,,,,,,,,,,,,,,,,
111311,3,3,2,2,,,2,,,,,,,,,,,,
111312,1,1,2,1,2,,2,,,,,,,,,,,,
111313,1,1,2,2,,,2,,,,,,,,,,,,
111314,2,2,2,1,2,,2,,,,,,,,,,,,
111315,2,2,2,2,,,2,,,,,,,,,,,,
111316,1,1,2,2,,,2,,,,,,,,,,,,
111317,3,3,2,2,,,2,,,,,,,,,,,,
111318,1,1,2,9,,,2,,,,,,,,,,,,
111319,1,1,2,2,,,2,,,,,,,,,,,,
111320,1,1,2,1,1,1,2,,,,,,,,,,,,
111321,3,3,2,2,,,2,,,,,,,,,,,,
111322,1,1,2,2,,,2,,,,,,,,,,,,
111323,3,2,2,2,,,2,,,,,,,,,,,,
111324,1,1,2,2,,,,,,,,,,,,,,,
111325,1,1,2,2,,,2,,,,,,,,,,,,
111326,1,1,2,1,2,,2,,,,,,,,,,,,
111327,4,4,2,1,2,,2,,1,2,1,2,12,1,3,,,,
